Korean,English
중요한,important
내게,to me
말해,say
이상,more
거라고,I guess
아는,know
너는,you
새,bird
적,enemy
전혀,at all
여자,female
새로운,new
너희,you guys
왔어,I'm here
아직도,still
가지,egg plant
나와,come out
알,egg
싶지,I don't want to
여기에,Here
원하는,want
돈,money
필요,necessary
도움이,help
그녀를,Her
몰라요,I don't know
작은,small
혹시,if
미안해요,sorry
나쁜,bad
죄송해요,sorry
모르겠어,I don't know
가요,song
알지,know
밖에,outside
직접,directly
있나,Is there
니,you
해도,chart
하죠,Let's do it
했는데,I did it
필요해,I need
아니요,no
적이,enemy
있나요,do you have
갖고,Have
돈을,money
주세요,please
어디서,where
것이,It is
거요,Yes
위한,for
것은,The thing is
없이,without
나중에,later
아버지,father
나랑,with me
됐어요,That's Okay
마세요,do not
차,car
언제,when
그저,just
생각,thought
했지,I did it
봤어,saw
해서,So
시간을,Time
마지막,last
알겠어,okay
왜냐면,because
위해서,for
엄청,very
알겠습니다,All right
오래,long time
기다려,wait
아닙니다,no
있는지,Is there
알겠어요,all right
제일,most
지난,past
그렇죠,Yes
죽은,dead
제대로,properly
아니지,No
있다면,if there is
보면,If you look
우리를,Us
짓을,do
남자,man
너가,you are
있다는,There is
누구,who
보여,see
왔어요,came
너한테,to you
여러분,everyone
완전히,completely
너의,your
것이다,will be
밤,night
소리,sound
없지,No
벌써,already
모르겠어요,I don't know
말이지,That's right
올,all
사람들을,people
처음,first
말이죠,I mean
사람들,people
그녀의,her
멋진,wonderful
왜요,why
정말로,really
이름은,name is
와서,come
대해서,about
여보,honey
조금,little
않았어,I didn't
말이에요,I mean
이름이,The name
여보세요,hello
서로,each other
안돼요,No
죽을,dying
첫,first
매우,very
사랑해,love you
오늘은,today
싶은,want to
어디로,Where
단지,only
아닌,not
나가,get out
뿐이야,only
미안,sorry
확실히,surely
싶어요,want
죄송합니다,sorry
때까지,until
없고,There is no
어때요,how is it
살,fat
당연히,of course
데리고,along
필요한,necessary
없다,does not exist
후,after
가고,good night
글쎄,well
않는,not
했죠,I did it
나의,my
별로,not really
않은,not
라고,Called
집,house
여전히,still
없을,There won't be
딱,Just
있어서,Because
이야기,story
엄마는,Mom is
부인,ma'am
하는데,to do
않고,Without
알았지,Understand
아니고,No
여자가,the woman
문,door
되지,No
거기서,at there
훨씬,more
망할,damn
뭔지,What is it
손,hand
수술,surgery
듣고,listen
어쩌면,perhaps
보세요,look
생각이,thought
어느,any
그러지,That's right
되면,If it happens
아마도,maybe
준비,preparation
전화,phone call
뒤에,behind
도대체,why
너를,you
당신도,You
것처럼,As if
않으면,If not
말하는,talking
최고의,Great
말하지,tell me
세,count
모르는,do not know
유일한,only
갑자기,suddenly
이봐요,Hey
건가요,Are you sure
없다고,There is no
것입니다,will
있잖아요,"You know,"
되고,become
어쨌든,anyway
가진,have
이번,this time
뭐하는,What are you doing
후에,later
친구가,friend
지,ji
신경,nerve
그만해,stop
누구야,who is this
당신에게,to you
늘,always
없었어,There wasn't
그들을,them
있게,have
알잖아,You know
누군가,someone
분명히,clearly
생각을,think
존,zone
일단,first
가야,Gaya
걱정,worry
보자,see
매일,everyday
수는,The number is
아침,morning
말할,say
말아요,Roll it up
모두가,Everyone is
않았어요,I didn't
얘기를,talk
봤어요,saw
대신,instead
마치,like
건데,It's going to be
자넨,you
했잖아,You did it
둘이,two people
당신과,with you
집으로,to home
한다,do
두고,Leave it
이름을,name
있네,There is
그들의,their
뭔데,What
금방,soon
사는,living
좋아하는,Favorite
찾을,find
맘에,I like it
결국,at last
이유가,the reason is
필요해요,I need
중에,During
그때,at that time
보는,see
너랑,with you
아이를,child
없잖아,There isn't any
한다고,I do it
기분,mood
하게,to do
놈이,This guy
못해,can not
우리에게,To us
가면,mask
저를,me
잡아,catch
집에서,at home
우리도,We too
기분이,Feel
저희,we
찾고,looking for
손을,hand
거다,It's going to happen
어제,yesterday
남자가,the man
뭐지,what
앞으로,from now on
잠깐만요,Wait
자신의,Own
애가,keen
이상한,weird
막,membrane
먹고,eat
아이,kid
언제나,always
여기가,here
아들,son
알게,Know
하세요,do
총,gun
스스로,self
방법이,There is a way
있던,there was
해봐,try
아님,no
때가,When is the time
아니죠,Nope
했던,did
조용히,quietly
밤에,At night
미친,crazy
텐데,It would be
머리,head
않습니다,not
잘못,wrong
고맙습니다,Thank you
있어야,Must be
왜냐하면,because
앉아,sit down
아침에,In the morning
죽일,kill
환자,patient
양,sheep
없죠,There is no
일어나,wake up
믿을,trustworthy
같네요,Looks like
건가,Is it dry?
게다가,furthermore
알렉스,Alex
타고,Riding
데,place
들었어,I heard
눈을,Eyes
나에게,to me
없었어요,There wasn't
만나서,meet
진정해,calm down
이것,this
더이상,Anymore
보지,pussy
방법을,How to
원래,usually
솔직히,to be honest
좋지,It's good
하려고,going to do
빌어먹을,Damn it
총을,gun
길을,Path
누군지,who is
아니라고,no
자신을,yourself
여길,This way
있지만,Although there is
얼른,hurry
얘들아,Guys
대로,Road
만든,made
놈,bloke
조심해,be careful
일에,at work
따라,according to
술,alcohol
정확히,exactly
자기가,Baby
충분히,enough
힘을,strength
아저씨,mister
알겠지,got it
있었는데,There was
사랑하는,Loving
기다리고,waiting
될거야,It will be
살아,live
평생,forever
아까,a moment ago
얘야,Hey
눈,eye
거기에,There
애,baby
분명,For sure
말하고,speaking
역시,also
저희가,we
찾아,find
걔가,He
이럴,Oh no
저기요,hey
너와,with you
될까요,Will it happen?
천천히,slowly
문제,problem
수술을,surgery
좋았어,It was good
어디에,where
문을,open the door
맞지,Right
어딨어,Where are you?
조지,George
아녜요,No
저녁,dinner
됩니다,It's possible
마요,Mayo
생각엔,I think
만들어,make
적어도,At least
애들,kids
개,dog
잘했어,good job
그러나,however
주,main
괜찮은,decent
생각은,Thought
위에,above
가끔,sometimes
있었던,there was
간,liver
잠시,for a moment
알아서,By-self
곳에,where
집을,house
그렇지만,but
그레이,gray
그럼요,sure
삶을,life
마음에,in the heart
살고,live
들고,carrying
분,minute
그랬어,I did
차를,tea
옆에,Next
아이가,The child
이번엔,this time
저게,That's it
아빠는,Dad is
괜찮을,It'll be okay
하자,let's do it
알았는데,I thought
생각해요,Think about it
없는데,I don't have it
생각하는,thinking
아니잖아,Nope
마지막으로,finally
여자를,woman
죽었어,dead
멍청한,stupid
훌륭한,excellent
있었지,There was
정도,degree
베일리,bailey
준비가,ready
남은,left
있으니까,Because there is
싫어요,"no, I do not want"
입니다,no see
영원히,forever
엄청난,exorbitant
정신,mental
는,Is
계세요,anybody home
하는지,Do you do it?
좋을,good
있었죠,There was
간다,Goes
기회를,opportunity
그대로,as it is
하나도,Not even one
멈춰,stop
필요가,need
도와줘,Help me
다음에,next time
앞에서,in front
뭐든,whatever
물,water
밖으로,outside
오는,coming
그렇다면,then
미국,USA
말라고,Don't tell me
하지마,don't
서,west
말한,said
테니까,Because
앞에,Before
를,cast
처럼,like
저한테,to me
거고,That's it
받아,receive
그것도,That too
요즘,recently
믿어,believe
뒤로,backwards
놈들이,They
입고,store
보니,Bonnie
속에,inside
잠시만요,wait a minute
소리야,It's a sound
들어봐,listen
자기야,babe
헤이,hey
에,to
이해가,Understanding
옷,clothes
들어가,Go in
아버지는,My father
않을거야,won't
있소,There is
자네는,you
모르겠지만,"I don't know, but"
누구도,no one
입,mouth
어머니,mother
특별한,special
좋겠어,I wish
준,June
그것은,that
관한,about
할게,I'll do it
여기는,here is
언니,sister
환자가,the patient
갈게,I'll go
나야,it's me
제게,To me
하루,day
단,step
필,Phil
가세요,go
끔찍한,Horrible
걸로,Girl
사랑,love
일도,work
아름다운,beautiful
년,year
형,brother
뭐요,what
저런,Like that
별,star
아니다,no
받고,under
할거야,I will do it
쓸,write
씨발,fuck
돈이,money
그에게,to him
뭔가를,something
마음을,heart
문제는,the problem is
의,of
서둘러,Hurry
못할,can't
없네,There is none
끝났어,it's over
있을거야,There will be
머리를,head
생각하지,don't think
뭐라고요,I beg your pardon
힘든,tiring
보게,see
가게,store
말해봐,say it
밥,rice
상황이,situation
줘요,Give
만큼,as much as
했지만,I did it but
같은데요,I think so
이름,name
엄마를,Mom
전화를,phone
어쩔,What to do
있니,Are you there?
번째,th
할까,Should I do it?
얘길,story
찾는,looking for
선생님이,Teacher
진짜로,really
일이에요,It's work
건지,Guernsey
가족을,family
할지,Do you do it?
중이야,I'm in the middle of it
믿지,believe it
닥쳐,shut up
여기로,here
저건,That is
주고,give
멀리,far
어이,hey
거짓말,lie
약,approximately
잭,jack
사실은,in fact
받을,receive
그러고,And then
겁니까,Are you afraid?
먹을,eat
그치만,But
너에게,to you
들었어요,I heard
하기,do
오빠,brother
오고,Coming
있을까,Is it
어린,young
통해,through
아닌데,It's not
조금만,a little bit
맞는,right
차에,in the car
여자는,The woman
보러,to see
손에,in hand
모르지,I don't know
가까이,closely
테니,Teni
되죠,It works
점점,increasingly
잔,glass
이야기를,Stories
물론이죠,Sure
학교,school
주는,giving
아가씨,miss
먹어,eat
것에,to
크게,big
이유는,The reason is
군,army
모두들,Everyone
죽인,killed
셋,three
알죠,I know
기억,memory
경찰,police
제이,Jay
그래야,So that
목숨을,life
있을까요,Is it there?
아니지만,Although it is not
했다,did
딸,daughter
많아,many
떨어져,away
사람이야,It's a person
다시는,never
거잖아,That's right
애들이,kids
애를,I'm struggling
을,second
말이다,That's right
없다는,There is no
만들,make
오면,When you come
할게요,I will do it
아기,baby
영화,movie
가족,family
찾았어,I found it
특히,especially
아들을,son
제발요,please
꿈을,dream
세상을,the world
놈을,The guy
아니었어,It wasn't
마이크,mike
그리,picture
무엇을,what
만드는,fabricated
얼마,how much
보여요,I can see it
사진,picture
칼,knife
잠시만,for a moment
병원에,to the hospital
같습니다,It's the same
바보,fool
